image_name,weight_g,length_cm,width_cm,height_cm
images/B07CBMG3SB_41zv1Ke22xL.jpg,200,30,20,1
images/B07D6BYW4R_91XSy91tkFL.jpg,1000,20,20,3
images/B07F2C7S8Y_51LwRklOg7L.jpg,1500,50,10,40
images/B07GDQMCX9_51HtQOFqrKL.jpg,200,20,5,3
images/B07GF4MRC5_61Yg-f1AsAL.jpg,150,5,5,3
images/B07GF586MQ_61IinS6JO1L.jpg,150,7,7,3
images/B07HK68BG6_71O5QnPIdGL.jpg,1500,40,40,60
images/B07J51FKQX_71HpBOL0jfL.jpg,250,20,10,5
images/B07JCYLS8X_71dLLhsFwSL.jpg,200,40,15,60
images/B07L36MHHG_61mAb5MhZPL.jpg,250,60,10,3
images/B07MRTC9GX_9149-9nXazL.jpg,50,14,9,0.5
images/B07Q5BSSKP_71PEWoG2bmL.jpg,1500,20,15,25
images/B07QNP3Z65_A1dq17MVhaL.jpg,150,15,8,1.5
images/B07QSB719J_71h5pxEE69L.jpg,473,10,7,20
images/B07RWDGGSH_61FHqstNWrL.jpg,200,10,10,3
images/B07RWK43Q8_61CUZiYjgQL.jpg,200,25,15,3
images/B07SBJLR67_71l+z9MgrGL.jpg,250,25,10,5
images/B07SF7CRMH_61v+ZEx3K+L.jpg,50,14,1,1
images/B07SX8KYL3_71tWeI9JbbL.jpg,200,150,100,2
images/B07T2QZSLY_81WEoqBUu6L.jpg,1000,20,20,5
images/B07TVRZZWB_61OnkGVhMWL.jpg,50,10,5,0.1
images/B07V2BGM4R_61vMRYIz-8L.jpg,150,20,4,2
images/B07WTRFSMB_71X4qWoFQXL.jpg,500,45,20,10
images/B07WYXGX55_71RPVB7h0WL.jpg,452,25,15,5
images/B07XLCDQT9_61ZD+HxdeVL.jpg,50,100,0.5,0.5
images/B083KSJ3CG_61L-Hwol47L.jpg,50,100,2,1
images/B0846PGGMM_81N+vZ+J0-L.jpg,500,20,15,10
images/B0849H91KJ_71HzEC81a1L.jpg,2000,30,25,20
images/B084Q5J45H_61GX8C-KkXL.jpg,1500,25,15,20
images/B085LB4L2V_91LvKAK3QtL.jpg,200,30,15,60
images/B0868F36L1_61OnkGVhMWL.jpg,50,10,5,0.1
images/B087QGPTWB_61YKnNs0EmL.jpg,300,30,3,0.5
images/B0896KFQ2D_71naIXdawnL.jpg,1500,25,15,30
images/B08D9QYFJS_61OnkGVhMWL.jpg,50,10,5,0.1
images/B08D9R7PTD_61OnkGVhMWL.jpg,50,10,5,0.1
images/B08DJ5N92Q_61OnkGVhMWL.jpg,50,10,5,0.1
images/B08FD67QC2_61wDbhjDaaL.jpg,50,30,10,2
images/B0046ZT55G_71-Vd8NKBSL.jpg,50,5,2,0.5
images/B00R3N09EY_A1DGJeEG7IL.jpg,3600,25,25,10
images/B07227RQJ9_717nmhrZ8nL.jpg,1500,30,20,45
images/B08BFJM5P7_61iBZrr2qvL.jpg,50,22,2,0.5
images/B005Z8BYZM_81Ei1bWNqrL.jpg,500,60,1,0.5
images/B0093VGUFG_21SgHQ5qBvL.jpg,50,14,7,0.3
images/B00X4SCCFG_61a+-E+cR1L.jpg,500,40,25,10
images/B01E3R7T9K_71mfyh3HnEL.jpg,2000,30,20,40
images/B01GG76234_61qv34m8+sL.jpg,1500,30,20,40
images/B01N6CJ32X_71mnT3aQszL.jpg,50,25,3,30
images/B01N6E557C_71-3MUIy1EL.jpg,150,120,5,3
images/B06ZY6Q66G_816HYMI06cL.jpg,1500,30,20,40
images/B0716DDMNP_813jtzoQV4L.jpg,200,150,100,1
images/B074MR2C61_81yLtzTX1RL.jpg,1500,20,15,10
images/B075QMLS5J_51+isEgEhzL.jpg,20,120,0.5,1.5
images/B076YFLYFR_81NkhXD2Q-L.jpg,150,15,5,3
images/B076YL2CTT_81U13t6ix8L.jpg,150,15,7,3
images/B076YN6CSG_81NkhXD2Q-L.jpg,150,15,5,3
images/B077RVSQKB_71-CIveNI8L.jpg,500,20,7,25
images/B077SZSD8J_71nwbOYGHNL.jpg,500,60,45,1.5
images/B078GTTCCF_9172EiZXptL.jpg,300,21,14,2.5
images/B079QZ6VDM_51qiyvikcWL.jpg,50,30,8,25
images/B07BL6RG6N_81Ih1LFWOcL.jpg,2000,60,40,80
images/B07C3Y8SDH_81bROExuXXL.jpg,500,40,30,20
images/B07DKFB5N5_81PWdFFIN6L.jpg,500,15,10,20
images/B07FFW7QG2_515z+eqgbNL.jpg,500,60,50,70
images/B07GL3HNT6_81YyQdVjuiL.jpg,300,25,15,8
images/B07H37S1KG_7155d7ViiwL.jpg,1500,30,10,20
images/B07HJ9WBTY_81KJ3fj54+L.jpg,1500,40,40,30
images/B07HQZTHKS_71hhfrtbEcL.jpg,50,100,3,0.5
images/B07J51DG4G_71Mje2jc-+L.jpg,250,20,10,5
images/B07J56PB3T_61NtujJ+ZUL.jpg,50,20,10,1
